Zipcode,admin_name1,Lat,Long,accuracy
124129,Haryana,28.7274,76.6286,
124130,Haryana,28.7274,76.6286,
124131,Haryana,28.7274,76.6286,
124132,Haryana,28.7274,76.6286,
124133,Haryana,28.7274,76.6286,
124135,Haryana,28.7274,76.6286,
124136,Haryana,28.7274,76.6286,
124138,Haryana,28.7274,76.6286,
124139,Haryana,28.7274,76.6286,
124140,Haryana,28.9356,76.8458,4
124202,Haryana,28.9185,76.7051,
124203,Haryana,28.9185,76.7051,
124204,Haryana,28.9185,76.7051,
124205,Haryana,28.9185,76.7051,
124301,Haryana,29.3834,76.8126,
124303,Haryana,29.0167,76.6167,4
124304,Haryana,29.3834,76.8126,
124305,Haryana,29.9336,77.0544,4
124306,Haryana,29.2,76.7667,4
124307,Haryana,29.3834,76.8126,
124308,Haryana,29.3834,76.8126,
124309,Haryana,29.3834,76.8126,
124311,Haryana,29.3834,76.8126,
124314,Haryana,29.3834,76.8126,
124315,Haryana,29.3834,76.8126,
124316,Haryana,29.3834,76.8126,
124317,Haryana,29.3834,76.8126,
124318,Haryana,29.3834,76.8126,
124320,Haryana,29.3834,76.8126,
124321,Haryana,29.3834,76.8126,
124322,Haryana,29.3834,76.8126,
124324,Haryana,29.3834,76.8126,
124402,Haryana,28.9397,76.8731,
124403,Haryana,28.9344,76.975,4
124404,Haryana,28.9397,76.8731,
124406,Haryana,28.9397,76.8731,
124407,Haryana,28.9,76.8333,4
124408,Haryana,28.9847,76.8111,4
124411,Haryana,28.8894,76.7123,
124412,Haryana,28.75,76.4833,4
124413,Haryana,28.9194,76.8981,4
124416,Haryana,28.8894,76.7123,
124417,Haryana,28.8894,76.7123,
124418,Haryana,28.8894,76.7123,
124421,Haryana,29.4092,76.8781,4
124423,Haryana,29.4092,76.8781,
124424,Haryana,29.4092,76.8781,
124425,Haryana,29.4092,76.8781,
124426,Haryana,29.4092,76.8781,
124427,Haryana,29.4092,76.8781,
124428,Haryana,29.4092,76.8781,
124429,Haryana,29.4092,76.8781,
124430,Haryana,28.9852,76.8049,
124501,Haryana,28.7764,76.7667,4
124502,Haryana,28.7299,76.8417,
124504,Haryana,28.7299,76.8417,
124505,Haryana,28.7299,76.8417,
124506,Haryana,28.7299,76.8417,
124507,Haryana,28.6833,76.9167,4
124508,Haryana,28.7299,76.8417,
124509,Haryana,28.7299,76.8417,
124510,Haryana,29.0333,76.4167,
124511,Haryana,29.0333,76.4167,
124513,Haryana,29.0333,76.4167,
124514,Haryana,29.0333,76.4167,
124515,Haryana,29.0333,76.4167,
124516,Haryana,29.0333,76.4167,
124517,Haryana,29.0333,76.4167,
124518,Haryana,29.0333,76.4167,
124519,Haryana,29.0333,76.4167,4
124520,Haryana,28.831,76.7,
124521,Haryana,28.831,76.7,
124522,Haryana,28.831,76.7,
124523,Haryana,28.831,76.7,
124524,Haryana,28.831,76.7,
124525,Haryana,28.831,76.7,
124527,Haryana,28.831,76.7,
124528,Haryana,28.831,76.7,
124529,Haryana,28.831,76.7,
124530,Haryana,28.831,76.7,
124531,Haryana,28.831,76.7,
124532,Haryana,28.831,76.7,
124533,Haryana,28.831,76.7,
125001,Haryana,29.1118,75.7598,
125002,Haryana,29.1118,75.7598,
125003,Haryana,29.1118,75.7598,
125004,Haryana,29.1118,75.7598,
125005,Haryana,29.1118,75.7598,
125011,Haryana,29.1118,75.7598,
125012,Haryana,29.1118,75.7598,
125024,Haryana,28.8,76.075,
125025,Haryana,28.8,76.075,
125026,Haryana,28.8,76.075,
125027,Haryana,28.8833,76.25,4
125028,Haryana,28.8,76.075,
125029,Haryana,28.7167,75.9,4
125030,Haryana,28.65,75.95,4
125031,Haryana,28.9833,76.0083,
125032,Haryana,28.9833,76.0083,
125033,Haryana,29.1,75.9667,4
125034,Haryana,28.9833,76.0083,
125035,Haryana,28.9667,75.9667,4
125036,Haryana,28.9833,76.0083,
125037,Haryana,28.9833,76.0083,
125038,Haryana,28.9833,76.0083,
125039,Haryana,29.2167,76.15,4
125040,Haryana,28.8833,75.9167,4
125041,Haryana,29.1167,75.725,
125042,Haryana,29.1167,75.725,
125043,Haryana,29.1167,75.725,
125044,Haryana,29.1167,75.725,
125045,Haryana,28.9667,75.6167,4
125046,Haryana,28.9167,75.6167,4
125047,Haryana,29.3333,75.6333,4
125048,Haryana,29.4167,75.55,4
125049,Haryana,29.1833,76.0167,4
125050,Haryana,29.5333,75.0167,
125051,Haryana,29.5333,75.0167,
125052,Haryana,29.5333,75.0167,
125054,Haryana,29.5333,75.0167,
125055,Haryana,29.5333,75.0167,
125056,Haryana,29.5333,75.0167,4
125057,Haryana,29.5333,75.0167,
125058,Haryana,29.5333,75.0167,
125060,Haryana,28.9333,76.1667,
125061,Haryana,28.9333,76.1667,
125062,Haryana,28.9333,76.1667,4
125063,Haryana,28.9333,76.1667,
125064,Haryana,28.9333,76.1667,
125065,Haryana,28.9333,76.1667,
125066,Haryana,28.9333,76.1667,
125067,Haryana,28.9333,76.1667,
125069,Haryana,28.9333,76.1667,
125071,Haryana,29.5917,75.15,
125073,Haryana,29.5917,75.15,
125074,Haryana,29.5917,75.15,
125076,Haryana,29.5333,74.8333,4
125077,Haryana,29.5917,75.15,
